feature,score,normalized_score,importance,normalized_importance,combined_score
x548,8.238508944224561,0.030094187633899178,0.002099285723475973,0.007934342164561842,0.01901426489923051
x143,9.271306966335414,0.0338668627230138,0.0009822021892443948,0.003712276112345003,0.0187895694176794
x662,9.283451507009339,0.033911225129881706,0.0007656689326922033,0.0028938792032062056,0.018402552166543955
x141,9.292088245973808,0.03394277399930715,0.0001916949316518661,0.0007245193743421415,0.017333646686824647
x185,8.065225742433476,0.029461206930253836,0.001188754166742966,0.004492948340957575,0.016977077635605707
x68,8.543013801063584,0.031206503753137146,0.0006042939165404221,0.0022839552749665346,0.01674522951405184
x228,7.893052330843286,0.0288322801439819,0.0010688485251118436,0.004039759726600028,0.016436019935290966
x382,7.562742364868678,0.02762570136125748,0.0008152017357007256,0.00308109059756024,0.01535339597940886
x560,6.784937711999198,0.02478448345102104,0.0012018887425676718,0.004542591044480105,0.014663537247750573
x247,6.4867870514683625,0.0236953783736422,0.0013875936866288802,0.005244470998864174,0.014469924686253187
x370,7.1553643833961935,0.026137603272713625,0.0005589017866790243,0.0021123937357863357,0.01412499850424998
x758,6.548764548512554,0.023921774003938245,0.0007936083338687384,0.0029994773913559042,0.013460625697647074
x10,6.758468433080227,0.02468779466282959,0.0005437987566352308,0.0020553111734895285,0.013371552918159559
x778,6.229452790200366,0.0227553702246362,0.0006871330690087402,0.0025970494731291536,0.012676209848882677
x706,5.416167134579047,0.01978454488646812,0.0008557971570257901,0.003234522767133749,0.011509533826800934
x174,6.107314467295421,0.022309215024505242,0.00014289339583313548,0.0005400718363001094,0.011424643430402675
x653,5.495032145131429,0.02007262837844231,0.0006446644096067171,0.0024365373183530274,0.011254582848397669
x150,5.570417787389349,0.020348002196492514,0.0004098728625766284,0.0015491324021708974,0.010948567299331706
x469,5.29600742467032,0.019345617298902273,0.0006437956688111906,0.0024332538745383343,0.010889435586720304
x184,5.665489780178231,0.020695287659078927,0.00028289938816232577,0.0010692306048309002,0.010882259131954914
x620,5.633417705950785,0.020578132597872643,0.00025859533515363686,0.0009773723740049936,0.010777752485938819
x148,5.540344025297733,0.02023814670621271,0.0003057336888992922,0.0011555338426939247,0.010696840274453317
x670,4.095025643944948,0.014958589100142992,0.0015742214006201477,0.0059498386025388485,0.01045421385134092
x614,5.305003541675757,0.019378478928958272,0.00039475581240965604,0.00149199685020563,0.010435237889581951
x827,4.277982316059372,0.015626905716263812,0.0013735016125836995,0.0051912093889592255,0.010409057552611518
